2023-06-22 13:20:09 | vhoover | INFO | Email sent for the Eastern timezone plants. | Change CHG0046154 | Week 1
2023-06-22 14:11:56 | vhoover | INFO | Email sent for the Central timezone plants. | Change CHG0046154 | Week 1
2023-06-22 16:11:02 | vhoover | INFO | Email sent for the Mountain timezone plants. | Change CHG0046154 | Week 1
2023-06-22 16:11:10 | vhoover | INFO | Email sent for the Pacific timezone plants. | Change CHG0046154 | Week 1
2023-06-22 20:50:55 | vhoover | INFO | Completion email sent for the Bethlehem Energy Center. | Change CHG0046154 | Week 1
2023-06-22 20:50:55 | vhoover | INFO | Completion email sent for the Bethpage Power Plant. | Change CHG0046154 | Week 1
2023-06-22 20:50:56 | vhoover | INFO | Completion email sent for the Edge Moor Energy Center. | Change CHG0046154 | Week 1
2023-06-22 20:50:56 | vhoover | INFO | Completion email sent for the Westbrook Energy Center (Non-Reg/NA Domain). | Change CHG0046154 | Week 1
2023-06-22 20:50:56 | vhoover | INFO | Completion email sent for the Baytown Energy Center. | Change CHG0046154 | Week 1
2023-06-22 20:50:56 | vhoover | INFO | Completion email sent for the Deer Park Energy Center. | Change CHG0046154 | Week 1
2023-06-22 20:50:56 | vhoover | INFO | Completion email sent for the Freestone Energy Center. | Change CHG0046154 | Week 1
2023-06-22 20:50:56 | vhoover | INFO | Completion email sent for the Pine Bluff Energy Center. | Change CHG0046154 | Week 1
2023-06-22 20:50:56 | vhoover | INFO | Completion email sent for the Zion Energy Center. | Change CHG0046154 | Week 1
2023-06-22 20:50:56 | vhoover | INFO | Completion email sent for the South Point Energy Center. | Change CHG0046154 | Week 1
2023-06-22 20:50:56 | vhoover | INFO | Completion email sent for the Agnews Power Plant. | Change CHG0046154 | Week 1
2023-06-22 20:50:56 | vhoover | INFO | Completion email sent for the Otay Mesa Energy Center. | Change CHG0046154 | Week 1
2023-06-22 20:50:56 | vhoover | INFO | Completion email sent for the Metcalf Energy Center. | Change CHG0046154 | Week 1
2023-06-22 20:50:56 | vhoover | INFO | Completion email sent for the Pastoria Energy Center. | Change CHG0046154 | Week 1
2023-06-29 13:00:31 | vhoover | INFO | Email sent for the Eastern timezone plants. | Change CHG0046202 | Week 2
2023-06-29 14:09:13 | vhoover | INFO | Email sent for the Central timezone plants. | Change CHG0046202 | Week 2
2023-06-29 16:06:10 | vhoover | INFO | Email sent for the Pacific timezone plants. | Change CHG0046202 | Week 2
2023-07-06 13:00:43 | vhoover | INFO | Email sent for the Eastern timezone plants. | Change CHG0046232 | Week 3
2023-07-06 14:00:28 | vhoover | INFO | Email sent for the Central timezone plants. | Change CHG0046232 | Week 3
2023-07-06 16:20:56 | vhoover | INFO | Email sent for the Pacific timezone plants. | Change CHG0046232 | Week 3
2023-07-20 13:09:38 | vhoover | INFO | Email sent for the Eastern timezone plants. | Change CHG0046329 | Week 1
2023-07-20 14:03:55 | vhoover | INFO | Email sent for the Central timezone plants. | Change CHG0046329 | Week 1
2023-07-20 15:03:35 | vhoover | INFO | Email sent for the Mountain timezone plants. | Change CHG0046329 | Week 1
2023-07-20 16:04:16 | vhoover | INFO | Email sent for the Pacific timezone plants. | Change CHG0046329 | Week 1
2023-07-27 13:03:00 | vhoover | INFO | Email sent for the Eastern timezone plants. | Change CHG0046373 | Week 2
2023-07-27 14:02:54 | vhoover | INFO | Email sent for the Central timezone plants. | Change CHG0046373 | Week 2
2023-07-27 15:50:54 | vhoover | INFO | Email sent for the Pacific timezone plants. | Change CHG0046373 | Week 2
